Designator,Mid X,Mid Y,Rotation,Layer
C1,43.074571,-164.001373,266.0,bottom
C10,92.1512,-103.8352,90.0,bottom
C11,87.6808,-145.2626,86.0,bottom
C12,112.6236,-51.054,90.0,bottom
C13,112.141,-70.5358,270.0,bottom
C14,112.268,-89.8652,90.0,bottom
C15,112.3442,-108.8898,270.0,bottom
C16,133.227261,-51.149364,91.0,bottom
C17,132.6642,-70.993,271.0,bottom
C18,132.4102,-89.9414,91.0,bottom
C19,131.7244,-108.8898,271.0,bottom
C2,69.5706,-87.376,266.0,bottom
C20,153.6954,-51.9684,92.0,bottom
C21,152.3492,-71.501,272.0,bottom
C22,152.2984,-90.3732,92.0,bottom
C23,151.0792,-109.6518,272.0,bottom
C24,153.0858,-133.1722,93.0,bottom
C25,173.228,-57.8358,93.0,bottom
C26,171.7548,-76.9366,273.0,bottom
C27,171.958,-95.9866,93.0,bottom
C28,170.2054,-114.9858,273.0,bottom
C29,193.3448,-65.3288,94.0,bottom
C3,70.8152,-107.4674,86.0,bottom
C30,192.151,-84.3026,274.0,bottom
C31,37.577006,-64.621017,270.0,top
C32,191.5414,-103.505,94.0,bottom
C33,189.4332,-122.3518,274.0,bottom
C34,43.151449,-74.152006,180.0,top
C35,43.151448,-76.361805,180.0,top
C4,72.8726,-126.0602,266.0,bottom
C5,64.4144,-165.481,265.0,bottom
C6,67.781473,-68.900145,86.0,bottom
C7,68.3768,-145.8468,86.0,bottom
C8,91.853254,-65.089635,90.0,bottom
C9,92.1258,-84.455,270.0,bottom
D1,48.198063,-164.373169,176.0,bottom
D10,97.659849,-103.478208,0.0,bottom
D11,92.926312,-144.632324,356.0,bottom
D12,117.54576,-51.433136,0.0,bottom
D13,117.566534,-70.441387,180.0,bottom
D14,117.593514,-89.4364,0.0,bottom
D15,117.622247,-108.435874,180.0,bottom
D16,138.242817,-51.854629,1.0,bottom
D17,137.912487,-70.805527,181.0,bottom
D18,137.576189,-89.686733,1.0,bottom
D19,137.238089,-108.682925,181.0,bottom
D2,74.986442,-87.736382,176.0,bottom
D20,158.485587,-52.307991,2.0,bottom
D21,157.822732,-71.354297,182.0,bottom
D22,157.178664,-90.214152,2.0,bottom
D23,156.565792,-109.221296,182.0,bottom
D24,177.953017,-58.279919,3.0,bottom
D25,177.754138,-76.885807,183.0,bottom
D26,176.795026,-95.844395,3.0,bottom
D27,175.782112,-114.765714,183.0,bottom
D28,158.1404,-133.136059,3.0,bottom
D29,199.059198,-65.549688,4.0,bottom
D3,76.352669,-106.654843,356.0,bottom
D30,197.697428,-84.45054,184.0,bottom
D31,55.495848,-78.038205,90.0,top
D32,196.380872,-103.390637,4.0,bottom
D33,195.075149,-122.268539,184.0,bottom
D4,77.64905,-125.587331,176.0,bottom
D5,69.46405,-164.744313,176.0,bottom
D6,73.648078,-68.824587,356.0,bottom
D7,73.562866,-145.383289,356.0,bottom
D8,97.700036,-65.379171,0.0,bottom
D9,97.672543,-84.460888,180.0,bottom
D_0,38.862,-161.3154,86.0,bottom
D_1,65.841406,-85.690324,86.0,bottom
D_10,84.403391,-142.229079,86.0,bottom
D_11,108.502967,-49.151043,90.0,bottom
D_12,108.680767,-67.312043,90.0,bottom
D_13,108.604567,-86.870043,90.0,bottom
D_14,108.579167,-105.920043,90.0,bottom
D_15,129.30137,-49.023124,91.0,bottom
D_16,129.04391,-68.376378,91.0,bottom
D_17,128.563774,-86.913822,91.0,bottom
D_18,128.147156,-106.415721,91.0,bottom
D_19,149.512671,-49.324859,92.0,bottom
D_2,67.182686,-104.613537,86.0,bottom
D_20,148.836312,-68.693253,92.0,bottom
D_21,148.252949,-87.582,92.0,bottom
D_22,147.576589,-106.950394,92.0,bottom
D_23,166.980254,-111.217797,93.0,bottom
D_24,168.618084,-92.584578,93.0,bottom
D_25,168.999729,-73.654608,93.0,bottom
D_26,169.833901,-54.825661,93.0,bottom
D_27,149.411124,-129.829872,93.0,bottom
D_28,190.322841,-61.095179,94.0,bottom
D_29,187.640834,-99.774956,94.0,bottom
D_3,68.707,-123.19,86.0,bottom
D_30,186.404467,-118.912328,94.0,bottom
D_31,189.597301,-80.535164,94.0,bottom
D_4,60.340977,-162.555975,86.0,bottom
D_5,64.2874,-65.6844,85.0,bottom
D_6,64.445602,-143.190892,85.0,bottom
D_7,88.617446,-62.518807,90.0,bottom
D_8,88.71634,-81.780489,90.0,bottom
D_9,88.683741,-100.460785,90.0,bottom
J1,45.8432,-66.1745,180.0,top
K_0,46.708893,-159.204569,4.0,top
K_1,73.49835,-82.583232,4.0,top
K_10,91.970248,-138.896605,4.0,top
K_11,116.420762,-46.218108,0.0,top
K_12,116.441534,-65.194611,0.0,top
K_13,116.468515,-84.216484,0.0,top
K_14,116.497249,-103.209605,0.0,top
K_15,137.20942,-46.59688,359.0,top
K_16,136.87917,-65.543215,359.0,top
K_17,136.542338,-84.454902,359.0,top
K_18,136.204884,-103.41422,359.0,top
K_19,157.54291,-47.067338,358.0,top
K_2,74.865268,-101.511587,4.0,top
K_20,156.880758,-66.093494,358.0,top
K_21,156.23471,-85.00999,358.0,top
K_22,155.624493,-103.941125,358.0,top
K_23,174.932866,-109.474588,357.0,top
K_24,175.945562,-90.557395,357.0,top
K_25,176.905435,-71.584283,357.0,top
K_26,177.914931,-52.735705,357.0,top
K_27,157.290767,-127.852277,357.0,top
K_28,198.302912,-60.23752,356.0,top
K_29,195.622728,-98.105059,356.0,top
K_3,76.161068,-120.435742,4.0,top
K_30,194.316623,-116.988433,356.0,top
K_31,196.939932,-79.155693,356.0,top
K_4,67.976797,-159.603134,4.0,top
K_5,72.158393,-63.648667,4.0,top
K_6,72.077003,-140.261983,4.0,top
K_7,96.575036,-60.157115,0.0,top
K_8,96.547543,-79.223843,0.0,top
K_9,96.534848,-98.242506,0.0,top
R1,39.586499,-64.595564,270.0,top
R2,43.202248,-78.368406,0.0,top
R3,47.1932,-73.2536,270.0,top
U2,49.577648,-106.782005,0.0,top
